SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AD:4D,2020-07-25 21:43:35.201406,69ed69c0-cee1-11ea-b6a7-dca63233ad4b,1,1,1,-76
1,DC:A6:32:33:AD:4D,2020-07-25 21:43:36.054339,69ed69c0-cee1-11ea-b6a7-dca63233ad4b,1,1,1,-75
2,DC:A6:32:33:AD:4D,2020-07-25 21:43:37.236516,69ed69c0-cee1-11ea-b6a7-dca63233ad4b,1,1,1,-85
3,DC:A6:32:33:AD:4D,2020-07-25 21:43:38.023778,69ed69c0-cee1-11ea-b6a7-dca63233ad4b,1,1,1,-87
4,DC:A6:32:33:AD:4D,2020-07-25 21:43:39.353497,69ed69c0-cee1-11ea-b6a7-dca63233ad4b,1,1,1,-85
5,DC:A6:32:33:AD:4D,2020-07-25 21:43:40.088387,69ed69c0-cee1-11ea-b6a7-dca63233ad4b,1,1,1,-84
6,DC:A6:32:33:AD:4D,2020-07-25 21:43:41.245576,69ed69c0-cee1-11ea-b6a7-dca63233ad4b,1,1,1,-87
7,DC:A6:32:33:AD:4D,2020-07-25 21:43:42.640269,69ed69c0-cee1-11ea-b6a7-dca63233ad4b,1,1,1,-74
8,DC:A6:32:33:AD:4D,2020-07-25 21:43:43.166365,69ed69c0-cee1-11ea-b6a7-dca63233ad4b,1,1,1,-84
9,DC:A6:32:33:AD:4D,2020-07-25 21:43:44.564828,69ed69c0-cee1-11ea-b6a7-dca63233ad4b,1,1,1,-75
10,DC:A6:32:33:AD:4D,2020-07-25 21:43:45.113453,69ed69c0-cee1-11ea-b6a7-dca63233ad4b,1,1,1,-87
11,DC:A6:32:33:AD:4D,2020-07-25 21:43:47.051869,69ed69c0-cee1-11ea-b6a7-dca63233ad4b,1,1,1,-74
12,DC:A6:32:33:AD:4D,2020-07-25 21:43:48.144042,69ed69c0-cee1-11ea-b6a7-dca63233ad4b,1,1,1,-74
13,DC:A6:32:33:AD:4D,2020-07-25 21:43:49.212538,69ed69c0-cee1-11ea-b6a7-dca63233ad4b,1,1,1,-85
14,DC:A6:32:33:AD:4D,2020-07-25 21:43:50.906533,69ed69c0-cee1-11ea-b6a7-dca63233ad4b,1,1,1,-83
15,DC:A6:32:33:AD:4D,2020-07-25 21:43:51.012127,69ed69c0-cee1-11ea-b6a7-dca63233ad4b,1,1,1,-84
16,DC:A6:32:33:AD:4D,2020-07-25 21:43:52.704516,69ed69c0-cee1-11ea-b6a7-dca63233ad4b,1,1,1,-77
17,DC:A6:32:33:AD:4D,2020-07-25 21:43:53.929127,69ed69c0-cee1-11ea-b6a7-dca63233ad4b,1,1,1,-76
18,DC:A6:32:33:AD:4D,2020-07-25 21:43:54.045875,69ed69c0-cee1-11ea-b6a7-dca63233ad4b,1,1,1,-83
