SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AD:4D,2020-07-25 22:11:32.011832,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-76
1,DC:A6:32:33:AD:4D,2020-07-25 22:11:33.270569,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-77
2,DC:A6:32:33:AD:4D,2020-07-25 22:11:34.032441,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-68
3,DC:A6:32:33:AD:4D,2020-07-25 22:11:35.373955,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-75
4,DC:A6:32:33:AD:4D,2020-07-25 22:11:36.247541,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-77
5,DC:A6:32:33:AD:4D,2020-07-25 22:11:37.288590,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-77
6,DC:A6:32:33:AD:4D,2020-07-25 22:11:38.183061,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-76
7,DC:A6:32:33:AD:4D,2020-07-25 22:11:40.188262,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-67
8,DC:A6:32:33:AD:4D,2020-07-25 22:11:41.053321,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-75
9,DC:A6:32:33:AD:4D,2020-07-25 22:11:43.058606,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-67
10,DC:A6:32:33:AD:4D,2020-07-25 22:11:44.643583,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-77
11,DC:A6:32:33:AD:4D,2020-07-25 22:11:45.035419,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-74
12,DC:A6:32:33:AD:4D,2020-07-25 22:11:46.203624,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-76
13,DC:A6:32:33:AD:4D,2020-07-25 22:11:47.244909,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-75
14,DC:A6:32:33:AD:4D,2020-07-25 22:11:48.619213,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-77
15,DC:A6:32:33:AD:4D,2020-07-25 22:11:49.089976,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-74
16,DC:A6:32:33:AD:4D,2020-07-25 22:11:50.311143,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-77
17,DC:A6:32:33:AD:4D,2020-07-25 22:11:51.074219,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-68
18,DC:A6:32:33:AD:4D,2020-07-25 22:11:52.103603,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-75
19,DC:A6:32:33:AD:4D,2020-07-25 22:11:53.728070,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-74
20,DC:A6:32:33:AD:4D,2020-07-25 22:11:54.003530,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-74
21,DC:A6:32:33:AD:4D,2020-07-25 22:11:55.259734,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-74
22,DC:A6:32:33:AD:4D,2020-07-25 22:11:56.552089,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-67
23,DC:A6:32:33:AD:4D,2020-07-25 22:11:57.003290,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-78
24,DC:A6:32:33:AD:4D,2020-07-25 22:11:58.019470,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-74
25,DC:A6:32:33:AD:4D,2020-07-25 22:11:59.030268,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-67
26,DC:A6:32:33:AD:4D,2020-07-25 22:12:00.699961,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-77
27,DC:A6:32:33:AD:4D,2020-07-25 22:12:01.049167,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-76
28,DC:A6:32:33:AD:4D,2020-07-25 22:12:02.058529,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-68
29,DC:A6:32:33:AD:4D,2020-07-25 22:12:03.251439,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-68
30,DC:A6:32:33:AD:4D,2020-07-25 22:12:04.232971,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-77
31,DC:A6:32:33:AD:4D,2020-07-25 22:12:05.171225,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-76
32,DC:A6:32:33:AD:4D,2020-07-25 22:12:06.267274,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-75
33,DC:A6:32:33:AD:4D,2020-07-25 22:12:07.100962,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-75
34,DC:A6:32:33:AD:4D,2020-07-25 22:12:09.105790,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-78
35,DC:A6:32:33:AD:4D,2020-07-25 22:12:10.048587,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-75
36,DC:A6:32:33:AD:4D,2020-07-25 22:12:11.239060,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-75
37,DC:A6:32:33:AD:4D,2020-07-25 22:12:13.062480,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-75
38,DC:A6:32:33:AD:4D,2020-07-25 22:12:14.015952,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-67
39,DC:A6:32:33:AD:4D,2020-07-25 22:12:15.077032,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-75
40,DC:A6:32:33:AD:4D,2020-07-25 22:12:16.206770,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-68
41,DC:A6:32:33:AD:4D,2020-07-25 22:12:17.275434,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-77
42,DC:A6:32:33:AD:4D,2020-07-25 22:12:18.370165,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-75
43,DC:A6:32:33:AD:4D,2020-07-25 22:12:19.234903,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-76
44,DC:A6:32:33:AD:4D,2020-07-25 22:12:20.065959,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-77
45,DC:A6:32:33:AD:4D,2020-07-25 22:12:21.168339,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-76
46,DC:A6:32:33:AD:4D,2020-07-25 22:12:23.172994,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-68
47,DC:A6:32:33:AD:4D,2020-07-25 22:12:25.178629,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-77
48,DC:A6:32:33:AD:4D,2020-07-25 22:12:26.037169,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-74
49,DC:A6:32:33:AD:4D,2020-07-25 22:12:27.514302,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-67
50,DC:A6:32:33:AD:4D,2020-07-25 22:12:28.438703,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-67
51,DC:A6:32:33:AD:4D,2020-07-25 22:12:29.026438,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-68
52,DC:A6:32:33:AD:4D,2020-07-25 22:12:30.152361,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-77
53,DC:A6:32:33:AD:4D,2020-07-25 22:12:31.645090,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-67
54,DC:A6:32:33:AD:4D,2020-07-25 22:12:32.080010,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-74
55,DC:A6:32:33:AD:4D,2020-07-25 22:12:33.412911,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-67
56,DC:A6:32:33:AD:4D,2020-07-25 22:12:35.417345,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-67
57,DC:A6:32:33:AD:4D,2020-07-25 22:12:36.124564,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-75
58,DC:A6:32:33:AD:4D,2020-07-25 22:12:38.129323,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-77
59,DC:A6:32:33:AD:4D,2020-07-25 22:12:39.391319,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-77
60,DC:A6:32:33:AD:4D,2020-07-25 22:12:40.274789,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-77
61,DC:A6:32:33:AD:4D,2020-07-25 22:12:41.017705,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-77
62,DC:A6:32:33:AD:4D,2020-07-25 22:12:42.037367,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-76
63,DC:A6:32:33:AD:4D,2020-07-25 22:12:43.652591,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-74
64,DC:A6:32:33:AD:4D,2020-07-25 22:12:44.004921,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-67
65,DC:A6:32:33:AD:4D,2020-07-25 22:12:45.222114,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-75
66,DC:A6:32:33:AD:4D,2020-07-25 22:12:46.047722,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-77
67,DC:A6:32:33:AD:4D,2020-07-25 22:12:48.052612,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-67
68,DC:A6:32:33:AD:4D,2020-07-25 22:12:49.348416,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-67
69,DC:A6:32:33:AD:4D,2020-07-25 22:12:50.393341,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-75
70,DC:A6:32:33:AD:4D,2020-07-25 22:12:51.069272,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-76
71,DC:A6:32:33:AD:4D,2020-07-25 22:12:52.082728,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-75
72,DC:A6:32:33:AD:4D,2020-07-25 22:12:53.967087,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-75
73,DC:A6:32:33:AD:4D,2020-07-25 22:12:54.034504,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-68
74,DC:A6:32:33:AD:4D,2020-07-25 22:12:56.038938,503f6ec0-cee5-11ea-bafd-dca63233ad4b,1,1,1,-78
