SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AD:4D,2020-07-25 21:55:41.517258,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-76
1,DC:A6:32:33:AD:4D,2020-07-25 21:55:42.246188,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-79
2,DC:A6:32:33:AD:4D,2020-07-25 21:55:43.158642,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-75
3,DC:A6:32:33:AD:4D,2020-07-25 21:55:44.468814,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-78
4,DC:A6:32:33:AD:4D,2020-07-25 21:55:46.473755,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-75
5,DC:A6:32:33:AD:4D,2020-07-25 21:55:47.237339,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-78
6,DC:A6:32:33:AD:4D,2020-07-25 21:55:49.242371,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-78
7,DC:A6:32:33:AD:4D,2020-07-25 21:55:51.247376,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-79
8,DC:A6:32:33:AD:4D,2020-07-25 21:55:52.949332,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-74
9,DC:A6:32:33:AD:4D,2020-07-25 21:55:53.031129,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-79
10,DC:A6:32:33:AD:4D,2020-07-25 21:55:55.036201,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-78
11,DC:A6:32:33:AD:4D,2020-07-25 21:55:56.159349,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-79
12,DC:A6:32:33:AD:4D,2020-07-25 21:55:57.163741,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-78
13,DC:A6:32:33:AD:4D,2020-07-25 21:55:58.135875,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-78
14,DC:A6:32:33:AD:4D,2020-07-25 21:56:00.139499,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-74
15,DC:A6:32:33:AD:4D,2020-07-25 21:56:01.111986,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-74
16,DC:A6:32:33:AD:4D,2020-07-25 21:56:02.743375,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-75
17,DC:A6:32:33:AD:4D,2020-07-25 21:56:03.182524,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-79
18,DC:A6:32:33:AD:4D,2020-07-25 21:56:04.037785,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-75
19,DC:A6:32:33:AD:4D,2020-07-25 21:56:05.464069,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-79
20,DC:A6:32:33:AD:4D,2020-07-25 21:56:06.282863,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-78
21,DC:A6:32:33:AD:4D,2020-07-25 21:56:07.375901,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-78
22,DC:A6:32:33:AD:4D,2020-07-25 21:56:08.260074,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-75
23,DC:A6:32:33:AD:4D,2020-07-25 21:56:09.358133,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-76
24,DC:A6:32:33:AD:4D,2020-07-25 21:56:10.094885,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-79
25,DC:A6:32:33:AD:4D,2020-07-25 21:56:11.454964,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-74
26,DC:A6:32:33:AD:4D,2020-07-25 21:56:12.273850,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-79
27,DC:A6:32:33:AD:4D,2020-07-25 21:56:13.093377,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-78
28,DC:A6:32:33:AD:4D,2020-07-25 21:56:14.460206,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-74
29,DC:A6:32:33:AD:4D,2020-07-25 21:56:16.466031,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-79
30,DC:A6:32:33:AD:4D,2020-07-25 21:56:17.618192,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-79
31,DC:A6:32:33:AD:4D,2020-07-25 21:56:18.133004,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-79
32,DC:A6:32:33:AD:4D,2020-07-25 21:56:20.137526,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-74
33,DC:A6:32:33:AD:4D,2020-07-25 21:56:22.141909,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-79
34,DC:A6:32:33:AD:4D,2020-07-25 21:56:24.146624,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-79
35,DC:A6:32:33:AD:4D,2020-07-25 21:56:25.030612,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-79
36,DC:A6:32:33:AD:4D,2020-07-25 21:56:26.604657,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-78
37,DC:A6:32:33:AD:4D,2020-07-25 21:56:28.609108,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-75
38,DC:A6:32:33:AD:4D,2020-07-25 21:56:29.085231,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-74
39,DC:A6:32:33:AD:4D,2020-07-25 21:56:30.425583,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-78
40,DC:A6:32:33:AD:4D,2020-07-25 21:56:31.013544,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-78
41,DC:A6:32:33:AD:4D,2020-07-25 21:56:33.018207,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-79
42,DC:A6:32:33:AD:4D,2020-07-25 21:56:35.022716,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-78
43,DC:A6:32:33:AD:4D,2020-07-25 21:56:37.027334,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-78
44,DC:A6:32:33:AD:4D,2020-07-25 21:56:39.035341,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-74
45,DC:A6:32:33:AD:4D,2020-07-25 21:56:41.039797,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-78
46,DC:A6:32:33:AD:4D,2020-07-25 21:56:43.043802,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-78
47,DC:A6:32:33:AD:4D,2020-07-25 21:56:45.048560,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-74
48,DC:A6:32:33:AD:4D,2020-07-25 21:56:47.053198,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-74
49,DC:A6:32:33:AD:4D,2020-07-25 21:56:49.057886,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-79
50,DC:A6:32:33:AD:4D,2020-07-25 21:56:51.065479,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-74
51,DC:A6:32:33:AD:4D,2020-07-25 21:56:52.304869,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-73
52,DC:A6:32:33:AD:4D,2020-07-25 21:56:53.129742,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-74
53,DC:A6:32:33:AD:4D,2020-07-25 21:56:54.227159,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-79
54,DC:A6:32:33:AD:4D,2020-07-25 21:56:56.231954,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-78
55,DC:A6:32:33:AD:4D,2020-07-25 21:56:58.237948,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-79
56,DC:A6:32:33:AD:4D,2020-07-25 21:56:59.300183,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-74
57,DC:A6:32:33:AD:4D,2020-07-25 21:57:01.304953,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-79
58,DC:A6:32:33:AD:4D,2020-07-25 21:57:03.313162,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-74
59,DC:A6:32:33:AD:4D,2020-07-25 21:57:04.402750,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-78
60,DC:A6:32:33:AD:4D,2020-07-25 21:57:05.098242,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-79
61,DC:A6:32:33:AD:4D,2020-07-25 21:57:07.103120,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-79
62,DC:A6:32:33:AD:4D,2020-07-25 21:57:09.111460,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-75
63,DC:A6:32:33:AD:4D,2020-07-25 21:57:10.054079,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-79
64,DC:A6:32:33:AD:4D,2020-07-25 21:57:12.058860,1a0f50b0-cee3-11ea-9685-dca63233ad4b,1,1,1,-74
