SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AD:4D,2020-07-26 13:07:55.562723,8a1253c4-cf62-11ea-b905-dca63233ad4b,1,1,1,-80
1,DC:A6:32:33:AD:4D,2020-07-26 13:07:56.108985,8a1253c4-cf62-11ea-b905-dca63233ad4b,1,1,1,-80
2,DC:A6:32:33:AD:4D,2020-07-26 13:07:57.175546,8a1253c4-cf62-11ea-b905-dca63233ad4b,1,1,1,-81
3,DC:A6:32:33:AD:4D,2020-07-26 13:07:58.444223,8a1253c4-cf62-11ea-b905-dca63233ad4b,1,1,1,-74
4,DC:A6:32:33:AD:4D,2020-07-26 13:07:59.408052,8a1253c4-cf62-11ea-b905-dca63233ad4b,1,1,1,-74
5,DC:A6:32:33:AD:4D,2020-07-26 13:08:00.599252,8a1253c4-cf62-11ea-b905-dca63233ad4b,1,1,1,-74
6,DC:A6:32:33:AD:4D,2020-07-26 13:08:01.027952,8a1253c4-cf62-11ea-b905-dca63233ad4b,1,1,1,-79
7,DC:A6:32:33:AD:4D,2020-07-26 13:08:02.071109,8a1253c4-cf62-11ea-b905-dca63233ad4b,1,1,1,-81
8,DC:A6:32:33:AD:4D,2020-07-26 13:08:03.584245,8a1253c4-cf62-11ea-b905-dca63233ad4b,1,1,1,-76
9,DC:A6:32:33:AD:4D,2020-07-26 13:08:04.052961,8a1253c4-cf62-11ea-b905-dca63233ad4b,1,1,1,-76
10,DC:A6:32:33:AD:4D,2020-07-26 13:08:06.058168,8a1253c4-cf62-11ea-b905-dca63233ad4b,1,1,1,-76
11,DC:A6:32:33:AD:4D,2020-07-26 13:08:08.063041,8a1253c4-cf62-11ea-b905-dca63233ad4b,1,1,1,-87
12,DC:A6:32:33:AD:4D,2020-07-26 13:08:09.215518,8a1253c4-cf62-11ea-b905-dca63233ad4b,1,1,1,-89
