SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AD:4D,2020-07-26 12:46:24.053635,88492eee-cf5f-11ea-b530-dca63233ad4b,1,1,1,-77
1,DC:A6:32:33:AD:4D,2020-07-26 12:46:25.122010,88492eee-cf5f-11ea-b530-dca63233ad4b,1,1,1,-80
2,DC:A6:32:33:AD:4D,2020-07-26 12:46:27.035607,88492eee-cf5f-11ea-b530-dca63233ad4b,1,1,1,-76
3,DC:A6:32:33:AD:4D,2020-07-26 12:46:28.688105,88492eee-cf5f-11ea-b530-dca63233ad4b,1,1,1,-77
4,DC:A6:32:33:AD:4D,2020-07-26 12:46:29.190635,88492eee-cf5f-11ea-b530-dca63233ad4b,1,1,1,-79
5,DC:A6:32:33:AD:4D,2020-07-26 12:46:30.008090,88492eee-cf5f-11ea-b530-dca63233ad4b,1,1,1,-77
6,DC:A6:32:33:AD:4D,2020-07-26 12:46:31.982443,88492eee-cf5f-11ea-b530-dca63233ad4b,1,1,1,-76
7,DC:A6:32:33:AD:4D,2020-07-26 12:46:32.020535,88492eee-cf5f-11ea-b530-dca63233ad4b,1,1,1,-79
8,DC:A6:32:33:AD:4D,2020-07-26 12:46:33.540558,88492eee-cf5f-11ea-b530-dca63233ad4b,1,1,1,-77
9,DC:A6:32:33:AD:4D,2020-07-26 12:46:34.304190,88492eee-cf5f-11ea-b530-dca63233ad4b,1,1,1,-77
10,DC:A6:32:33:AD:4D,2020-07-26 12:46:35.533169,88492eee-cf5f-11ea-b530-dca63233ad4b,1,1,1,-76
11,DC:A6:32:33:AD:4D,2020-07-26 12:46:37.538100,88492eee-cf5f-11ea-b530-dca63233ad4b,1,1,1,-76
12,DC:A6:32:33:AD:4D,2020-07-26 12:46:38.091957,88492eee-cf5f-11ea-b530-dca63233ad4b,1,1,1,-76
13,DC:A6:32:33:AD:4D,2020-07-26 12:46:39.638844,88492eee-cf5f-11ea-b530-dca63233ad4b,1,1,1,-79
14,DC:A6:32:33:AD:4D,2020-07-26 12:46:40.044371,88492eee-cf5f-11ea-b530-dca63233ad4b,1,1,1,-79
