SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AD:4D,2020-07-26 13:22:51.570473,a006ce24-cf64-11ea-a6d4-dca63233ad4b,1,1,1,-79
1,DC:A6:32:33:AD:4D,2020-07-26 13:22:52.179537,a006ce24-cf64-11ea-a6d4-dca63233ad4b,1,1,1,-79
2,DC:A6:32:33:AD:4D,2020-07-26 13:22:53.298274,a006ce24-cf64-11ea-a6d4-dca63233ad4b,1,1,1,-76
3,DC:A6:32:33:AD:4D,2020-07-26 13:22:54.118843,a006ce24-cf64-11ea-a6d4-dca63233ad4b,1,1,1,-89
4,DC:A6:32:33:AD:4D,2020-07-26 13:22:56.030733,a006ce24-cf64-11ea-a6d4-dca63233ad4b,1,1,1,-79
5,DC:A6:32:33:AD:4D,2020-07-26 13:22:57.087734,a006ce24-cf64-11ea-a6d4-dca63233ad4b,1,1,1,-78
6,DC:A6:32:33:AD:4D,2020-07-26 13:22:58.015202,a006ce24-cf64-11ea-a6d4-dca63233ad4b,1,1,1,-80
7,DC:A6:32:33:AD:4D,2020-07-26 13:23:00.019585,a006ce24-cf64-11ea-a6d4-dca63233ad4b,1,1,1,-78
8,DC:A6:32:33:AD:4D,2020-07-26 13:23:01.209267,a006ce24-cf64-11ea-a6d4-dca63233ad4b,1,1,1,-78
9,DC:A6:32:33:AD:4D,2020-07-26 13:23:02.299655,a006ce24-cf64-11ea-a6d4-dca63233ad4b,1,1,1,-78
10,DC:A6:32:33:AD:4D,2020-07-26 13:23:04.228365,a006ce24-cf64-11ea-a6d4-dca63233ad4b,1,1,1,-86
11,DC:A6:32:33:AD:4D,2020-07-26 13:23:06.236819,a006ce24-cf64-11ea-a6d4-dca63233ad4b,1,1,1,-77
12,DC:A6:32:33:AD:4D,2020-07-26 13:23:07.399719,a006ce24-cf64-11ea-a6d4-dca63233ad4b,1,1,1,-77
13,DC:A6:32:33:AD:4D,2020-07-26 13:23:09.310946,a006ce24-cf64-11ea-a6d4-dca63233ad4b,1,1,1,-77
14,DC:A6:32:33:AD:4D,2020-07-26 13:23:10.012205,a006ce24-cf64-11ea-a6d4-dca63233ad4b,1,1,1,-82
15,DC:A6:32:33:AD:4D,2020-07-26 13:23:11.943436,a006ce24-cf64-11ea-a6d4-dca63233ad4b,1,1,1,-77
16,DC:A6:32:33:AD:4D,2020-07-26 13:23:12.014722,a006ce24-cf64-11ea-a6d4-dca63233ad4b,1,1,1,-78
17,DC:A6:32:33:AD:4D,2020-07-26 13:23:13.404721,a006ce24-cf64-11ea-a6d4-dca63233ad4b,1,1,1,-76
18,DC:A6:32:33:AD:4D,2020-07-26 13:23:14.215378,a006ce24-cf64-11ea-a6d4-dca63233ad4b,1,1,1,-85
