SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AD:4D,2020-07-26 13:38:26.513814,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-85
1,DC:A6:32:33:AD:4D,2020-07-26 13:38:27.682423,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-85
2,DC:A6:32:33:AD:4D,2020-07-26 13:38:28.026183,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-84
3,DC:A6:32:33:AD:4D,2020-07-26 13:38:29.607306,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-88
4,DC:A6:32:33:AD:4D,2020-07-26 13:38:30.068520,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-85
5,DC:A6:32:33:AD:4D,2020-07-26 13:38:31.099811,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-91
6,DC:A6:32:33:AD:4D,2020-07-26 13:38:32.165639,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-90
7,DC:A6:32:33:AD:4D,2020-07-26 13:38:33.026059,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-84
8,DC:A6:32:33:AD:4D,2020-07-26 13:38:34.521001,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-85
9,DC:A6:32:33:AD:4D,2020-07-26 13:38:36.526124,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-90
10,DC:A6:32:33:AD:4D,2020-07-26 13:38:37.036710,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-90
11,DC:A6:32:33:AD:4D,2020-07-26 13:38:39.041166,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-90
12,DC:A6:32:33:AD:4D,2020-07-26 13:38:41.045438,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-86
13,DC:A6:32:33:AD:4D,2020-07-26 13:38:42.658577,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-90
14,DC:A6:32:33:AD:4D,2020-07-26 13:38:43.097319,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-89
15,DC:A6:32:33:AD:4D,2020-07-26 13:38:44.293055,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-85
16,DC:A6:32:33:AD:4D,2020-07-26 13:38:46.298675,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-84
17,DC:A6:32:33:AD:4D,2020-07-26 13:38:47.554889,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-90
18,DC:A6:32:33:AD:4D,2020-07-26 13:38:48.005464,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-85
19,DC:A6:32:33:AD:4D,2020-07-26 13:38:50.013354,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-89
20,DC:A6:32:33:AD:4D,2020-07-26 13:38:51.073707,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-90
21,DC:A6:32:33:AD:4D,2020-07-26 13:38:52.031165,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-90
22,DC:A6:32:33:AD:4D,2020-07-26 13:38:53.075067,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-85
23,DC:A6:32:33:AD:4D,2020-07-26 13:38:54.637470,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-85
24,DC:A6:32:33:AD:4D,2020-07-26 13:38:55.026844,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-84
25,DC:A6:32:33:AD:4D,2020-07-26 13:38:57.031340,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-90
26,DC:A6:32:33:AD:4D,2020-07-26 13:38:58.214992,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-90
27,DC:A6:32:33:AD:4D,2020-07-26 13:38:59.533085,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-90
28,DC:A6:32:33:AD:4D,2020-07-26 13:39:01.283886,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-89
29,DC:A6:32:33:AD:4D,2020-07-26 13:39:02.738149,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-84
30,DC:A6:32:33:AD:4D,2020-07-26 13:39:03.007546,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-85
31,DC:A6:32:33:AD:4D,2020-07-26 13:39:04.830128,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-89
32,DC:A6:32:33:AD:4D,2020-07-26 13:39:05.003770,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-85
33,DC:A6:32:33:AD:4D,2020-07-26 13:39:06.585112,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-90
34,DC:A6:32:33:AD:4D,2020-07-26 13:39:07.005091,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-92
35,DC:A6:32:33:AD:4D,2020-07-26 13:39:08.415081,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-89
36,DC:A6:32:33:AD:4D,2020-07-26 13:39:09.185675,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-91
37,DC:A6:32:33:AD:4D,2020-07-26 13:39:10.590080,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-90
38,DC:A6:32:33:AD:4D,2020-07-26 13:39:11.355072,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-90
39,DC:A6:32:33:AD:4D,2020-07-26 13:39:13.268910,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-90
40,DC:A6:32:33:AD:4D,2020-07-26 13:39:14.190106,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-85
41,DC:A6:32:33:AD:4D,2020-07-26 13:39:15.650115,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-89
42,DC:A6:32:33:AD:4D,2020-07-26 13:39:16.100093,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-89
43,DC:A6:32:33:AD:4D,2020-07-26 13:39:17.008875,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-90
44,DC:A6:32:33:AD:4D,2020-07-26 13:39:19.013930,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-90
45,DC:A6:32:33:AD:4D,2020-07-26 13:39:20.035211,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-90
46,DC:A6:32:33:AD:4D,2020-07-26 13:39:21.321421,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-90
47,DC:A6:32:33:AD:4D,2020-07-26 13:39:22.090244,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-89
48,DC:A6:32:33:AD:4D,2020-07-26 13:39:23.253949,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-90
49,DC:A6:32:33:AD:4D,2020-07-26 13:39:24.682708,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-85
50,DC:A6:32:33:AD:4D,2020-07-26 13:39:25.065194,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-89
51,DC:A6:32:33:AD:4D,2020-07-26 13:39:26.255867,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-84
52,DC:A6:32:33:AD:4D,2020-07-26 13:39:27.905861,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-90
53,DC:A6:32:33:AD:4D,2020-07-26 13:39:28.051463,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-89
54,DC:A6:32:33:AD:4D,2020-07-26 13:39:29.083978,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-90
55,DC:A6:32:33:AD:4D,2020-07-26 13:39:30.390237,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-85
56,DC:A6:32:33:AD:4D,2020-07-26 13:39:31.007746,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-90
57,DC:A6:32:33:AD:4D,2020-07-26 13:39:32.110345,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-90
58,DC:A6:32:33:AD:4D,2020-07-26 13:39:33.254120,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-84
59,DC:A6:32:33:AD:4D,2020-07-26 13:39:34.095345,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-90
60,DC:A6:32:33:AD:4D,2020-07-26 13:39:35.135294,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-90
61,DC:A6:32:33:AD:4D,2020-07-26 13:39:37.140325,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-84
62,DC:A6:32:33:AD:4D,2020-07-26 13:39:39.074143,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-90
63,DC:A6:32:33:AD:4D,2020-07-26 13:39:40.005353,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-85
64,DC:A6:32:33:AD:4D,2020-07-26 13:39:41.409100,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-90
65,DC:A6:32:33:AD:4D,2020-07-26 13:39:42.051642,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-90
66,DC:A6:32:33:AD:4D,2020-07-26 13:39:43.424169,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-90
67,DC:A6:32:33:AD:4D,2020-07-26 13:39:44.053473,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-91
68,DC:A6:32:33:AD:4D,2020-07-26 13:39:45.051632,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-91
69,DC:A6:32:33:AD:4D,2020-07-26 13:39:46.147966,ce24bddc-cf66-11ea-a0f8-dca63233ad4b,1,1,1,-91
