SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AD:4D,2020-07-26 14:00:02.484871,cbde7998-cf69-11ea-93cd-dca63233ad4b,1,1,1,-93
1,DC:A6:32:33:AD:4D,2020-07-26 14:00:03.003998,cbde7998-cf69-11ea-93cd-dca63233ad4b,1,1,1,-94
2,DC:A6:32:33:AD:4D,2020-07-26 14:00:05.008087,cbde7998-cf69-11ea-93cd-dca63233ad4b,1,1,1,-93
3,DC:A6:32:33:AD:4D,2020-07-26 14:00:06.284292,cbde7998-cf69-11ea-93cd-dca63233ad4b,1,1,1,-94
4,DC:A6:32:33:AD:4D,2020-07-26 14:00:07.591999,cbde7998-cf69-11ea-93cd-dca63233ad4b,1,1,1,-101
5,DC:A6:32:33:AD:4D,2020-07-26 14:00:08.057976,cbde7998-cf69-11ea-93cd-dca63233ad4b,1,1,1,-94
6,DC:A6:32:33:AD:4D,2020-07-26 14:00:09.242986,cbde7998-cf69-11ea-93cd-dca63233ad4b,1,1,1,-92
7,DC:A6:32:33:AD:4D,2020-07-26 14:00:10.364250,cbde7998-cf69-11ea-93cd-dca63233ad4b,1,1,1,-95
8,DC:A6:32:33:AD:4D,2020-07-26 14:00:11.194201,cbde7998-cf69-11ea-93cd-dca63233ad4b,1,1,1,-93
9,DC:A6:32:33:AD:4D,2020-07-26 14:00:12.267946,cbde7998-cf69-11ea-93cd-dca63233ad4b,1,1,1,-92
10,DC:A6:32:33:AD:4D,2020-07-26 14:00:13.008208,cbde7998-cf69-11ea-93cd-dca63233ad4b,1,1,1,-93
11,DC:A6:32:33:AD:4D,2020-07-26 14:00:14.355599,cbde7998-cf69-11ea-93cd-dca63233ad4b,1,1,1,-94
12,DC:A6:32:33:AD:4D,2020-07-26 14:00:15.235558,cbde7998-cf69-11ea-93cd-dca63233ad4b,1,1,1,-95
13,DC:A6:32:33:AD:4D,2020-07-26 14:00:16.051754,cbde7998-cf69-11ea-93cd-dca63233ad4b,1,1,1,-98
14,DC:A6:32:33:AD:4D,2020-07-26 14:00:18.056713,cbde7998-cf69-11ea-93cd-dca63233ad4b,1,1,1,-93
15,DC:A6:32:33:AD:4D,2020-07-26 14:00:19.312997,cbde7998-cf69-11ea-93cd-dca63233ad4b,1,1,1,-92
16,DC:A6:32:33:AD:4D,2020-07-26 14:00:20.201116,cbde7998-cf69-11ea-93cd-dca63233ad4b,1,1,1,-91
17,DC:A6:32:33:AD:4D,2020-07-26 14:00:21.026758,cbde7998-cf69-11ea-93cd-dca63233ad4b,1,1,1,-94
18,DC:A6:32:33:AD:4D,2020-07-26 14:00:22.306734,cbde7998-cf69-11ea-93cd-dca63233ad4b,1,1,1,-94
19,DC:A6:32:33:AD:4D,2020-07-26 14:00:24.311802,cbde7998-cf69-11ea-93cd-dca63233ad4b,1,1,1,-93
20,DC:A6:32:33:AD:4D,2020-07-26 14:00:25.025463,cbde7998-cf69-11ea-93cd-dca63233ad4b,1,1,1,-93
21,DC:A6:32:33:AD:4D,2020-07-26 14:00:26.244283,cbde7998-cf69-11ea-93cd-dca63233ad4b,1,1,1,-92
22,DC:A6:32:33:AD:4D,2020-07-26 14:00:27.258588,cbde7998-cf69-11ea-93cd-dca63233ad4b,1,1,1,-92
23,DC:A6:32:33:AD:4D,2020-07-26 14:00:28.069820,cbde7998-cf69-11ea-93cd-dca63233ad4b,1,1,1,-95
24,DC:A6:32:33:AD:4D,2020-07-26 14:00:29.149889,cbde7998-cf69-11ea-93cd-dca63233ad4b,1,1,1,-80
25,DC:A6:32:33:AD:4D,2020-07-26 14:00:30.452984,cbde7998-cf69-11ea-93cd-dca63233ad4b,1,1,1,-94
26,DC:A6:32:33:AD:4D,2020-07-26 14:00:32.461211,cbde7998-cf69-11ea-93cd-dca63233ad4b,1,1,1,-93
