SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AD:4D,2020-07-26 15:50:44.064802,4833b698-cf79-11ea-bb2d-dca63233ad4b,1,1,1,-84
1,DC:A6:32:33:AD:4D,2020-07-26 15:50:45.250368,4833b698-cf79-11ea-bb2d-dca63233ad4b,1,1,1,-84
2,DC:A6:32:33:AD:4D,2020-07-26 15:50:46.060263,4833b698-cf79-11ea-bb2d-dca63233ad4b,1,1,1,-84
3,DC:A6:32:33:AD:4D,2020-07-26 15:50:47.141550,4833b698-cf79-11ea-bb2d-dca63233ad4b,1,1,1,-85
4,DC:A6:32:33:AD:4D,2020-07-26 15:50:48.086519,4833b698-cf79-11ea-bb2d-dca63233ad4b,1,1,1,-83
5,DC:A6:32:33:AD:4D,2020-07-26 15:50:49.446558,4833b698-cf79-11ea-bb2d-dca63233ad4b,1,1,1,-89
6,DC:A6:32:33:AD:4D,2020-07-26 15:50:50.027744,4833b698-cf79-11ea-bb2d-dca63233ad4b,1,1,1,-90
7,DC:A6:32:33:AD:4D,2020-07-26 15:50:52.032751,4833b698-cf79-11ea-bb2d-dca63233ad4b,1,1,1,-84
8,DC:A6:32:33:AD:4D,2020-07-26 15:50:54.008976,4833b698-cf79-11ea-bb2d-dca63233ad4b,1,1,1,-83
9,DC:A6:32:33:AD:4D,2020-07-26 15:50:55.159008,4833b698-cf79-11ea-bb2d-dca63233ad4b,1,1,1,-91
10,DC:A6:32:33:AD:4D,2020-07-26 15:50:56.787868,4833b698-cf79-11ea-bb2d-dca63233ad4b,1,1,1,-84
11,DC:A6:32:33:AD:4D,2020-07-26 15:50:57.035249,4833b698-cf79-11ea-bb2d-dca63233ad4b,1,1,1,-85
12,DC:A6:32:33:AD:4D,2020-07-26 15:50:59.040313,4833b698-cf79-11ea-bb2d-dca63233ad4b,1,1,1,-81
13,DC:A6:32:33:AD:4D,2020-07-26 15:51:00.092777,4833b698-cf79-11ea-bb2d-dca63233ad4b,1,1,1,-84
14,DC:A6:32:33:AD:4D,2020-07-26 15:51:01.046555,4833b698-cf79-11ea-bb2d-dca63233ad4b,1,1,1,-90
15,DC:A6:32:33:AD:4D,2020-07-26 15:51:02.291614,4833b698-cf79-11ea-bb2d-dca63233ad4b,1,1,1,-90
