SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AD:4D,2020-07-26 16:02:47.739342,f80425c0-cf7a-11ea-8776-dca63233ad4b,1,1,1,-83
1,DC:A6:32:33:AD:4D,2020-07-26 16:02:48.021280,f80425c0-cf7a-11ea-8776-dca63233ad4b,1,1,1,-83
2,DC:A6:32:33:AD:4D,2020-07-26 16:02:49.601671,f80425c0-cf7a-11ea-8776-dca63233ad4b,1,1,1,-92
3,DC:A6:32:33:AD:4D,2020-07-26 16:02:50.159102,f80425c0-cf7a-11ea-8776-dca63233ad4b,1,1,1,-82
4,DC:A6:32:33:AD:4D,2020-07-26 16:02:51.345335,f80425c0-cf7a-11ea-8776-dca63233ad4b,1,1,1,-89
5,DC:A6:32:33:AD:4D,2020-07-26 16:02:52.839872,f80425c0-cf7a-11ea-8776-dca63233ad4b,1,1,1,-83
6,DC:A6:32:33:AD:4D,2020-07-26 16:02:53.094080,f80425c0-cf7a-11ea-8776-dca63233ad4b,1,1,1,-96
7,DC:A6:32:33:AD:4D,2020-07-26 16:02:54.062843,f80425c0-cf7a-11ea-8776-dca63233ad4b,1,1,1,-83
8,DC:A6:32:33:AD:4D,2020-07-26 16:02:55.151578,f80425c0-cf7a-11ea-8776-dca63233ad4b,1,1,1,-88
9,DC:A6:32:33:AD:4D,2020-07-26 16:02:56.397249,f80425c0-cf7a-11ea-8776-dca63233ad4b,1,1,1,-82
10,DC:A6:32:33:AD:4D,2020-07-26 16:02:57.264095,f80425c0-cf7a-11ea-8776-dca63233ad4b,1,1,1,-82
11,DC:A6:32:33:AD:4D,2020-07-26 16:02:58.147234,f80425c0-cf7a-11ea-8776-dca63233ad4b,1,1,1,-82
12,DC:A6:32:33:AD:4D,2020-07-26 16:03:00.151678,f80425c0-cf7a-11ea-8776-dca63233ad4b,1,1,1,-83
13,DC:A6:32:33:AD:4D,2020-07-26 16:03:01.062974,f80425c0-cf7a-11ea-8776-dca63233ad4b,1,1,1,-91
14,DC:A6:32:33:AD:4D,2020-07-26 16:03:02.372926,f80425c0-cf7a-11ea-8776-dca63233ad4b,1,1,1,-83
15,DC:A6:32:33:AD:4D,2020-07-26 16:03:03.015359,f80425c0-cf7a-11ea-8776-dca63233ad4b,1,1,1,-83
16,DC:A6:32:33:AD:4D,2020-07-26 16:03:04.053671,f80425c0-cf7a-11ea-8776-dca63233ad4b,1,1,1,-84
17,DC:A6:32:33:AD:4D,2020-07-26 16:03:05.304876,f80425c0-cf7a-11ea-8776-dca63233ad4b,1,1,1,-83
18,DC:A6:32:33:AD:4D,2020-07-26 16:03:06.064258,f80425c0-cf7a-11ea-8776-dca63233ad4b,1,1,1,-86
19,DC:A6:32:33:AD:4D,2020-07-26 16:03:07.152954,f80425c0-cf7a-11ea-8776-dca63233ad4b,1,1,1,-87
20,DC:A6:32:33:AD:4D,2020-07-26 16:03:08.122969,f80425c0-cf7a-11ea-8776-dca63233ad4b,1,1,1,-86
21,DC:A6:32:33:AD:4D,2020-07-26 16:03:09.037938,f80425c0-cf7a-11ea-8776-dca63233ad4b,1,1,1,-83
22,DC:A6:32:33:AD:4D,2020-07-26 16:03:10.080498,f80425c0-cf7a-11ea-8776-dca63233ad4b,1,1,1,-86
